,date,Fidelity Contra vs SPX,BBBI Global Aggregate,MSCI AC World,S&P GSCI,United States Dollar Index,VIX,EM credit rel.,Global corporates rel.,Ex-US sovereigns rel.,EM corporates rel.,EM sovereigns rel.,Ex-US bonds,US bonds rel.,US Treasuries rel.,US HY corporates rel.,US liquid corporates rel.,GBP vs dollar index,EUR vs dollar index,JPY vs dollar index,SP50 Comms rel.,SP50 Cons. Disc. rel.,SP50 Staples rel.,SP50 Energy rel.,SP50 Financials rel.,SP50 Healthcare rel.,SP50 industrials rel.,SP50 Tech rel.,SP50 Materials rel.,SP50 Real Estate rel.,SP50 Utilities rel.,EAFE vs ACWIxUS,EM vs ACWIxUS,ACWIxUS vs ACWI,Russell 3000 vs ACWI,Large cap growth vs value,Small cap vs large cap,Small cap growth vs value,GSCI Ags rel.,GSCI Energy rel.,GSCI Ind. Metals rel.,GSCI Precious Met. Rel.
10,2020-05-21,-0.001381366,0.001017267,-0.00662212,-1.26e-05,0.00248174,0.0550196498749553,0.004660136,0.000504679,-0.000119696,-0.001961127,0.001013211,0.000481102,-0.00073269,-0.000351245,0.003998596,-0.000274895,0.002020884,0.002179366,0.001101822,0.003281762,0.006190976,-0.002668032,-0.007064747,0.004237587,-0.000342307,0.009422604,-0.00620928,-0.002177354,0.002395897,-0.002280009,-0.000657736,0.002136498,0.001233345,0.00010631,-0.001697466,0.007417973,0.000352154,-0.001474,0.005413434,-0.00581038,-0.017949672
11,2020-05-22,0.003332125,8.507709039973221e-05,-0.003178927,-0.011931223,0.004961256,-0.046393498,-0.002090927,0.000369046,-0.00012147,0.001298011,-0.001403216,0.00030005,-0.000430329,-0.000187675,0.002421462,-0.000337979,-0.002869266,-0.00027825,-0.008161033,0.00214309,-0.003733968,0.000953051,-0.009014946,-0.004928995,-0.000455548,-0.003480303,0.001840927,-0.004107136,0.0197376836334095,0.0090028,0.004472842,-0.013327657,-0.008323738,0.006059495,0.004561261,0.003224962,0.006374608,0.004520163,-0.005480142,-0.003376596,0.022246339428707
12,2020-05-26,-0.01582273,-0.001569561,0.01788991,0.018702192,-0.009563101,-0.005326705,0.006455759,0.00215986,-0.000717612,-0.000542553,0.001714539,-0.000162104,0.000309903,-0.00197023,0.0123283064781137,0.002218572,-0.004111689,0.001005564,0.0106796401789223,-0.00942673,-0.001176663,-0.006956068,0.016760074,0.038102604,-0.014223885,0.0301537759852679,-0.013459115,0.014371157,0.019361223,-0.004999452,0.003850385,-0.007140075,0.007917125,-0.004058708,-0.024839512,0.0147336466442546,-0.023056537,-0.00388691,0.0100048175339144,-0.008527616,-0.032406449
13,2020-05-27,-0.010572024,0.001004969,0.010740032,-0.020421814,0.001557002,-0.013923599,0.000261631,0.001446874,2.7176430279940437e-05,0.001949531,-0.00100064,3.392079526576275e-05,-8.68e-05,-0.000378384,0.002748211,0.001048314,0.01035646776644,-0.000508971,0.000673584,-0.009328899,-0.001975601,0.000733897,-0.003216672,0.028574608,-0.004331869,0.0185997735631491,-0.009409824,-0.004597868,0.006645343,-0.004151319,0.0011629,-0.003787591,-0.005322973,0.005173429,-0.015281699,0.016120425,-0.020326887,0.0214669100225443,-0.017689019,0.006957869,0.020434463
14,2020-05-28,0.003520376,-7.7e-05,0.002694469,0.007457546,-0.006854293,0.035119479,-0.000562278,-0.00035882,0.000237304,0.001517201,-0.001199181,0.000539398,-0.000935192,-0.001076684,0.005728059,7.223877298556669e-05,-0.001830738,-0.000608005,0.004906874,-0.007451828,-0.008347697,0.00958973,-0.026979211,-0.013497433,0.0146897953610394,-0.007679246,0.000184572,0.0103770074328655,0.0144957509930456,0.032488569621468,0.00594434,-0.011489286,0.006688584,-0.006617818,0.007636415,-0.022271821,0.006544702,-0.004020196,0.002782194,0.002477121,-0.005680868
15,2020-05-29,0.006471188,0.001618126,-0.000203344,0.0252486283580728,-0.00039641,-0.037775446,-0.000706489,0.002417742,-0.000233182,0.00111201,-0.00060036,-0.000911636,0.001447292,0.000576563,-0.003938676,0.002286327,-0.003081649,-0.005716839,0.001418477,0.002267026,0.001956521,-0.003190968,-0.00634371,-0.016948203,0.007893228,-0.011060721,0.006999642,-0.00396188,-0.012798495,0.00316179,-0.005612796,0.0136537120006281,-0.007446186,0.004827305,0.0102317181077686,-0.009953952,0.0114031436527874,-0.025460952,0.020962735,-0.014599454,-0.010364169
16,2020-06-01,0.00322224,-0.000181474,0.007209614,0.00087796,-0.005226552,0.0261723009814611,0.002458222,0.000247678,2.4368821629372484e-05,-0.000786647,0.000204242,-0.000278347,0.000530162,-0.001025996,0.002187995,-0.002309873,-0.004386583,0.003969552,0.003555785,0.004272664,0.00537988,0.002451069,0.013094013,0.007847637,-0.013804359,-0.001771692,-0.003525655,0.001728841,0.0172826541305701,0.006940269,-0.002265098,0.007232432,0.00382352,-0.002044277,-0.000168668,0.003152158,0.003093694,-0.004840059,0.000781003,0.008215741,-0.000103952
17,2020-06-02,-0.004055679,-5.16e-05,0.0104141587553594,0.0173205893568535,-0.001604825,-0.049238399,0.004042605,0.001842254,-0.000286833,-0.000257112,0.001405774,-2.18e-06,4.160884820236799e-05,-0.001286144,0.007921532,0.001402716,-0.004288312,-0.002463827,0.0111813204422632,-0.003372066,-0.001870344,-0.006204124,0.0183228031042601,8.75263448030239e-06,-0.002135648,0.004654969,0.001157485,0.009410368,-0.00163342,-0.002224921,0.000356698,-0.000349634,0.003182754,-0.002143977,-0.003267983,0.000917256,-0.001782752,-0.023710189,0.020439955,-0.008493718,-0.028429801
18,2020-06-03,-0.010890343,-0.002217301,0.015905085,0.003961703,-0.004064583,-0.043964232,0.008322698,0.002433151,-0.000829498,-0.00083372,0.002784602,-4.66e-05,0.000120614,-0.002442294,0.0115646896536731,0.002471281,0.000928849,0.00081128,0.006274833,-0.011517762,0.001937754,-0.011605943,0.016828406,0.024618922,-0.01564553,0.0254759950217411,-0.005403951,0.009166627,0.010386201,-0.000683794,0.001691113,-0.002096502,0.003276433,-0.000903151,-0.014389875,0.009446959,-0.020843623,0.002004695,0.002058549,0.000233709,-0.020775907
19,2020-06-04,-0.008323188,-0.001106154,-0.002767106,0.006676493,-0.006157737,0.005845674,0.001367153,0.00046911,-0.000204821,0.004907909,-0.002464193,0.000528812,-0.001001672,-0.001593585,0.003849092,-0.000426952,0.005285253,-0.004817234,0.007811768,-0.004642216,-0.002115968,-0.002538247,0.00183695,0.0230992933647877,-0.00468653,0.0138433197429399,-0.005033613,0.006898879,-0.01467469,-0.016109289,-0.000612225,0.00254442,0.002251674,-0.000575312,-0.015610546,0.003534197,-0.017942364,0.004506422,-0.002180763,-0.004973307,0.005943307
20,2020-06-05,-0.007422561,-0.001244024,0.020702728618555,0.030192425327473,0.002689368,-0.049980628,0.005452193,0.005586686,-0.001197844,0.000427382,-0.000295585,-0.000262229,0.0004467,-0.003761669,0.0104212467853185,0.007329431,-0.011962108,6.533979655110045e-06,0.004099312,-0.009461686,-0.004942489,-0.011666947,0.0483485711127658,0.0124639758970757,-0.009649514,0.010943008,0.000665187,-0.001226145,0.009756919,-0.012633589,0.001458668,-0.004700205,-0.005948689,0.005801798,-0.007806761,0.0121620153699142,-0.0166291,-0.029328823,0.027192529,-0.009400531,-0.056268308
21,2020-06-08,-0.006577111,0.001580331,0.007971757,-0.012008515,-0.003290797,0.052610114,0.003628221,0.00176177,-0.000676178,0.001026016,-0.00019459,-9.9e-05,0.000111232,-0.000352394,0.001014681,0.001104801,0.005456474,0.004396907,-0.007279161,-0.000793226,0.003146114,-0.002463695,0.0311674494302931,0.005515477,-0.005653738,0.007689442,-0.007546989,-0.011098206,0.009509531,0.0143499408819574,-0.001005942,0.00159762,-0.005546926,0.005680429,-0.011155215,0.006472653,-0.016092568,0.013514623,-0.014373263,0.0152238053181775,0.026231297
22,2020-06-09,0.0118752696046551,0.001345741,-0.006076222,0.008632464,-0.003042911,0.068190624,-0.000714777,-0.000768763,0.000223918,0.000788648,-0.000293284,-0.000337681,0.000563087,0.001990806,-0.00500413,-0.003790468,0.001117133,-0.00166886,-0.004969245,0.009550741,0.007395378,-0.00127779,-0.028088898,-0.01331141,-0.003015013,-0.01731762,0.0126071732182679,-0.003949875,-0.003384848,-0.013414649,-0.001610141,0.004545094,0.002105056,-0.003450469,0.020448915,-0.01053211,0.010493508,-0.009946856,0.00636717,-0.00410936,7.453789059819194e-05
23,2020-06-10,0.0127555686306387,0.001401405,-0.003264661,0.009311947,-0.003789294,0.0,0.000599417,0.001546583,-0.000438371,-0.00028905,9.464470072106934e-07,-0.000925763,0.001497017,0.001029507,-0.005719281,-8e-05,0.001241359,0.004009515,-0.000574072,0.002780497,0.001351487,0.003824932,-0.043878228,-0.032177885,0.003933477,-0.018527098,0.0222408267664159,-0.005820037,-0.013799599,-6.89e-05,-0.001141575,0.004163136,0.001135642,-0.00375026,0.028224732592697,-0.02053796,0.024807386,-0.009727521,0.005093673,0.006363487,-0.009817493
24,2020-06-11,0.009246338,0.002412114,-0.045679477,-0.038598842,0.008065945,0.4795067101922379,-0.007746576,-0.004011904,0.001089627,0.002327767,-0.002545016,0.000257824,-0.000663599,0.004017959,-0.015612991,-0.005988486,0.000792657,-0.010614071,-0.013660611,0.0124902977065644,0.009832334,0.0208768093801072,-0.035579264,-0.022852584,0.002677151,-0.011522968,0.000809881,-0.018456411,-0.003646617,0.0191680668244305,-0.004599416,0.0132380128657404,0.016936856,-0.014497946,0.0108323648574837,-0.016558056,0.0140295770270517,0.035270349542983,-0.030365489,0.019915,0.0493447479134077
25,2020-06-12,-0.003166864,-0.000823362,0.006336713,-0.001637899,0.006057912,-0.11522432,-0.001689536,-0.000585179,0.000156857,-0.000990503,9.203882875286062e-05,0.000648507,-0.001085552,-0.001291111,0.003833305,0.002437911,0.002155815,0.005901357,0.000365268,-0.004221415,-0.005719305,-0.014857205,0.0140263059701979,0.0170445269176175,-0.006097486,0.006469027,0.000384048,0.006363796,0.0185524243084986,-0.015215785,-0.000589259,-0.002055062,-0.008217126,0.007612195,-0.007039594,0.009818683,-0.007947895,-0.000767802,0.000995534,-0.001239442,-0.001618218
26,2020-06-15,0.002884433,0.000157498,0.000413699,0.009294001,-0.006298873,-0.046827376,-0.003219326,0.000106499,0.00012484,0.001270923,-0.001193556,0.000112556,-0.000188872,-5.84e-05,0.000494454,0.00030075,0.004190109,0.003815421,0.006997652,0.00168795,0.000438309,0.002297313,-0.007469532,0.005439999,-0.00647979,0.000947102,0.000371187,0.001017789,0.001837421,-0.002081301,0.000487915,-0.005323288,-0.012157137,0.009699173,0.001500131,0.01369265,0.0108609076441761,-0.008939343,0.0116493077497084,-0.017071507,-0.015049473
27,2020-06-16,-0.003045476,1.6057857251672303e-05,0.022370769448279,0.0161179625780545,0.002605836,-0.02122093,0.006807352,0.004644453,-0.000681422,-0.004330497,0.00419196,0.000177182,-0.000178239,-0.003848882,0.0137228275078034,0.010550865,-0.002685382,0.000686656,-0.002978258,-0.006768918,0.001011435,-0.003002426,0.009246364,-0.004618121,0.005391356,0.000432251,0.002614253,0.002110626,-0.00145223,-0.014338635,0.003910559,-0.005007922,0.005001598,-0.003380679,0.00349414,0.004264204,-0.00543968,-0.019358671,0.0137971054493706,-0.006698818,-0.010025832
28,2020-06-17,0.008368692,9.50494673079838e-06,2.7361250573676443e-05,-0.002105417,0.002062749,-0.005940006,0.000571542,4.26333702432391e-05,-0.000153818,0.001285751,9.814460656820678e-05,-9.15e-05,0.00014376,0.000828934,3.519298793075443e-05,-0.002912431,0.000130192,-0.000726161,-0.003180431,0.004363585,0.004353257,0.001622571,-0.029180666,-0.010104584,0.002815259,-0.00305442,0.003924282,-0.003962917,-0.007743922,0.000500609,0.000239988,0.001630918,0.004234744,-0.004438546,0.0111091514925415,-0.014147317,0.0147254004759027,0.002136826,-0.003572077,0.008769187,0.002261336
29,2020-06-18,0.002795642,0.000306244,-0.00040803,0.008598934,0.002706931,-0.015835076,0.000204011,0.000117067,-0.000222981,0.000492271,-0.000195791,-0.000510255,0.000907756,0.001248381,-0.004577734,-0.002131244,0.007198841,-0.002439499,-0.007136042,-0.00071717,-0.00266429,0.004772253,0.0113432827494757,-0.001517876,-0.003608309,-0.003909074,0.004250907,-0.000164954,-0.013957846,-0.001011224,-0.002371578,0.004076734,-0.0019022,0.001232472,0.003041622,-0.000470719,0.002400547,-0.013246454,0.009829557,-0.003819721,-0.012201142
30,2020-06-19,0.007676491,-0.000429153,-0.001220733,0.009995727,0.002073475,0.066180935,0.002374052,0.000591146,-0.000173513,-0.001070599,0.001371856,0.000208164,-0.00017798,-0.001483871,0.000321086,0.001618312,0.002213172,0.001145579,-0.00015346,0.002424341,0.001178986,-0.000770789,-0.011076615,-0.001081639,0.0143602376782708,-0.007029911,-0.001996765,0.002505675,-0.004668983,-0.025381939,-0.000250039,0.001919778,0.00532406,-0.004291104,0.006296452,-0.000428257,0.009223034,-0.01074195,0.007623154,-0.010361662,0.003253205
31,2020-06-22,0.005642501,0.000344413,0.002125457,0.009135298,-0.005982197,-0.095387244,-0.000977438,-0.001262427,0.00048495,0.000687453,-0.000487767,0.000535368,-0.000928824,0.000562193,0.002104702,-0.001187848,-0.000646193,0.000203671,0.005234359,-0.00128404,0.004530811,-0.009181754,-0.000218165,-0.011275619,-0.010100412,-0.004539697,0.0127961509146869,-0.002509275,-0.009016744,0.006949342,-0.001465277,0.001877404,-0.005989741,0.004491711,0.0116356847596336,0.004122905,0.009299969,-0.013460646,0.008497388,-0.005584969,-0.001885461
32,2020-06-23,0.001688561,-0.000929218,0.006618345,-0.002605295,-0.004049918,-0.012590494,0.002839963,-3.07e-05,-0.000100092,-0.001070294,0.00097559,-0.000152761,0.00025706,-0.000168937,0.000815725,-0.001215546,-0.002138233,-0.003450019,-0.002124365,0.001827494,0.006094041,-0.005698727,-0.003517741,-0.000124134,5.778304240733334e-05,-0.00429905,0.002694862,-0.002209536,-0.007846728,-0.014892778,4.156785333075952e-05,0.001598468,0.003458922,-0.002597578,0.006328656,3.463805919534657e-05,0.00664208,0.005159234,-0.004235505,-3.78e-06,0.0114614328044834
